postcode_sector,average_price,percentage_average_price
IG3 9,502000,75
IG4 5,590000,88
IG5 0,545000,81
IG6 1,519000,77
IG6 2,511000,76
IG6 3,414000,62
IG7 4,393000,59
IG8 0,754000,112
IG8 7,536000,80
IG8 8,524000,78
IG8 9,650000,97
IG9 6,550000,82
KT1 1,474000,71
KT1 2,645000,96
KT1 3,625000,93
KT1 4,539000,80
KT2 5,732000,109
KT2 6,607000,90
KT2 7,1100000,162
KT3 3,670000,100
KT3 4,915000,136
KT3 5,723000,108
KT3 6,648000,97
KT4 8,551000,82
KT5 8,603000,90
KT5 9,609000,91
KT6 4,471000,70
KT6 6,536000,80
KT6 7,582000,87
KT8 9,1000000,151
KT9 1,490000,73
KT9 2,466000,69
N1 0,977000,145
N1 1,1100000,164
N1 2,987000,147
N1 3,887000,132
N1 4,819000,122
N1 5,693000,103
N1 6,550000,82
N1 7,747000,111
N1 8,1000000,155
N1 9,656000,98
N10 1,742000,111
N10 2,903000,134
N10 3,1000000,154
N11 1,505000,75
N11 2,669000,100
N11 3,511000,76
N12 0,541000,81
N12 7,758000,113
N12 8,645000,96
N12 9,570000,85
N13 4,594000,88
N13 5,517000,77
N13 6,499000,74
N14 4,545000,81
N14 5,642000,96
N14 6,695000,103
N14 7,865000,129
N15 3,605000,90
N15 4,497000,74
N15 5,464000,69
N15 6,593000,88
N16 0,825000,123
N16 5,748000,111
N16 6,593000,88
N16 7,674000,100
N16 8,683000,102
N16 9,883000,131
N17 0,423000,63
N17 6,533000,79
N17 7,450000,67
N17 8,359000,54
N17 9,448000,67
N18 1,417000,62
N18 2,345000,51
N19 3,713000,106
N19 4,746000,111
N19 5,677000,101
N1C 4,1200000,182
N2 0,1700000,253
N2 8,573000,85
N2 9,1100000,164
N20 0,608000,91
N20 8,1500000,223
N20 9,784000,117
N21 1,612000,91
N21 2,820000,122
N21 3,758000,113
N22 5,498000,74
N22 6,572000,85
N22 7,848000,126
N22 8,494000,74
N3 1,711000,106
N3 2,666000,99
N3 3,847000,126
N4 1,719000,107
N4 2,658000,98
N4 3,669000,100
N4 4,812000,121
N5 1,884000,132
N5 2,841000,125
N6 4,2000000,295
N6 5,941000,140
N6 6,1400000,209
N7 0,688000,102
N7 6,628000,94
N7 7,566000,84
N7 8,661000,99
N7 9,614000,91
N8 0,638000,95
N8 7,593000,88
N8 8,978000,146
N8 9,715000,106
N9 0,386000,57
N9 7,438000,65
N9 8,371000,55
N9 9,416000,62
